species_id,recorded_species_name,species_name,taxon,reporting_name,phylum,class_,order,family,genus,common_name,range,frequency,abundance,max_length,common_family_name,common_class_name,common_phylum_name,superseded_ids,superseded_names,geom,mapped_id,mapped_superseded_ids
34,Caesioperca lepidoptera,Caesioperca lepidoptera,Caesioperca lepidoptera,Caesioperca lepidoptera,Chordata,Actinopterygii,Perciformes,Serranidae,Caesioperca,Butterfly perch,1018.8087,13.5593,68.5364,30,Groupers and rockcods,Ray-finned fishes,Chordates,,,POINT (0 0),24,
35,Caesioperca rasor,Caesioperca rasor,Caesioperca rasor,Caesioperca rasor,Chordata,Actinopterygii,Perciformes,Serranidae,Caesioperca,Barber perch,555.9369,22.8595,26.1914,25,Groupers and rockcods,Ray-finned fishes,Chordates,,,POINT (0 0),25,
36,Hypoplectrodes maccullochi,Hypoplectrodes maccullochi,Hypoplectrodes maccullochi,Hypoplectrodes maccullochi,Chordata,Actinopterygii,Perciformes,Serranidae,Hypoplectrodes,Half-banded seaperch,340.0037,42.293,5.7434,45,Groupers and rockcods,Ray-finned fishes,Chordates,,,POINT (0 0),26,
37,Trachinops caudimaculatus,Trachinops caudimaculatus,Trachinops caudimaculatus,Trachinops caudimaculatus,Chordata,Actinopterygii,Perciformes,Plesiopidae,Trachinops,Hulafish,272.5044,44.5796,142.1061,15,Prettyfins (devilfishes),Ray-finned fishes,Chordates,,,POINT (0 0),27,
38,Dinolestes lewini,Dinolestes lewini,Dinolestes lewini,Dinolestes lewini,Chordata,Actinopterygii,Perciformes,Dinolestidae,Dinolestes,Long-fin pike,876.7961,47.0215,14.5222,84,long-finned pikes,Ray-finned fishes,Chordates,,,POINT (0 0),28,
39,Vincentia conspersa,Vincentia conspersa,Vincentia conspersa,Vincentia conspersa,Chordata,Actinopterygii,Perciformes,Apogonidae,Vincentia,Southern cardinalfish,476.5291,19.4906,2.3408,14,Cardinalfishes,Ray-finned fishes,Chordates,,,POINT (0 0),29,
40,Pseudocaranx dentex,Pseudocaranx dentex,Pseudocaranx dentex,Pseudocaranx dentex,Chordata,Actinopterygii,Perciformes,Carangidae,Pseudocaranx,White trevally,7062.87,5.2383,16.9502,55,Trevallies,Ray-finned fishes,Chordates,844,Caranx dentex,POINT (0 0),30,1474
41,Trachurus declivis,Trachurus declivis,Trachurus declivis,Trachurus declivis,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,Jack mackerel,489.619,4.6329,104.5864,64,Trevallies,Ray-finned fishes,Chordates,,,POINT (0 0),31,
43,Parequula melbournensis,Parequula melbournensis,Parequula melbournensis,Parequula melbournensis,Chordata,Actinopterygii,Perciformes,Gerreidae,Parequula,Silverbelly,1162.5455,11.8594,2.9983,22,Silverbiddies,Ray-finned fishes,Chordates,,,POINT (0 0),33,
44,Upeneichthys vlamingii,Upeneichthys vlamingii,Upeneichthys vlamingii,Upeneichthys vlamingii,Chordata,Actinopterygii,Perciformes,Mullidae,Upeneichthys,Southern goatfish,1090.045,25.3012,2.2839,35,Goatfishes,Ray-finned fishes,Chordates,,,POINT (0 0),34,
45,Pempheris multiradiata,Pempheris multiradiata,Pempheris multiradiata,Pempheris multiradiata,Chordata,Actinopterygii,Perciformes,Pempheridae,Pempheris,Common bullseye,1132.1061,44.4153,19.2767,28,Bullseyes,Ray-finned fishes,Chordates,,,POINT (0 0),35,
46,Girella elevata,Girella elevata,Girella elevata,Girella elevata,Chordata,Actinopterygii,Perciformes,Kyphosidae,Girella,Rock blackfish,379.8866,14.0768,3.8522,62,Drummers,Ray-finned fishes,Chordates,,,POINT (0 0),36,
47,Girella tricuspidata,Girella tricuspidata,Girella tricuspidata,Girella tricuspidata,Chordata,Actinopterygii,Perciformes,Kyphosidae,Girella,Luderick,798.9634,17.7972,15.2777,71,Drummers,Ray-finned fishes,Chordates,,,POINT (0 0),37,
48,Kyphosus sydneyanus,Kyphosus sydneyanus,Kyphosus sydneyanus,Kyphosus sydneyanus,Chordata,Actinopterygii,Perciformes,Kyphosidae,Kyphosus,Silver drummer,1635.789,19.1282,8.1066,80,Drummers,Ray-finned fishes,Chordates,,,POINT (0 0),38,
49,Girella zebra,Girella zebra,Girella zebra,Girella zebra,Chordata,Actinopterygii,Perciformes,Kyphosidae,Girella,Zebra fish,1011.5862,44.4525,4.7594,34,Drummers,Ray-finned fishes,Chordates,,,POINT (0 0),39,
50,Scorpis aequipinnis,Scorpis aequipinnis,Scorpis aequipinnis,Scorpis aequipinnis,Chordata,Actinopterygii,Perciformes,Kyphosidae,Scorpis,Sea sweep,1005.0886,40.3329,6.4303,40,Drummers,Ray-finned fishes,Chordates,,,POINT (0 0),40,
51,Scorpis lineolata,Scorpis lineolata,Scorpis lineolata,Scorpis lineolata,Chordata,Actinopterygii,Perciformes,Kyphosidae,Scorpis,Silver sweep,959.819,48.9867,35.5404,30,Drummers,Ray-finned fishes,Chordates,5094,Scorpis lineolatus,POINT (0 0),41,6149
52,Atypichthys strigatus,Atypichthys strigatus,Atypichthys strigatus,Atypichthys strigatus,Chordata,Actinopterygii,Perciformes,Kyphosidae,Atypichthys,Mado sweep,471.6891,32.4373,75.8269,25,Drummers,Ray-finned fishes,Chordates,,,POINT (0 0),42,
53,Enoplosus armatus,Enoplosus armatus,Enoplosus armatus,Enoplosus armatus,Chordata,Actinopterygii,Perciformes,Enoplosidae,Enoplosus,Old wife,1171.353,49.3333,5.9725,50,oldwives,Ray-finned fishes,Chordates,,,POINT (0 0),43,
54,Pentaceropsis recurvirostris,Pentaceropsis recurvirostris,Pentaceropsis recurvirostris,Pentaceropsis recurvirostris,Chordata,Actinopterygii,Perciformes,Pentacerotidae,Pentaceropsis,Long-snouted boarfish,718.5018,20.3453,1.3719,50,armorheads,Ray-finned fishes,Chordates,,,POINT (0 0),44,
55,Chromis hypsilepis,Chromis hypsilepis,Chromis hypsilepis,Chromis hypsilepis,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,One-spot puller,578.4413,28.0303,105.6178,16,Damselfishes,Ray-finned fishes,Chordates,,,POINT (0 0),45,
56,Parma microlepis,Parma microlepis,Parma microlepis,Parma microlepis,Chordata,Actinopterygii,Perciformes,Pomacentridae,Parma,White-ear,387.4388,46.7588,6.6937,14,Damselfishes,Ray-finned fishes,Chordates,,,POINT (0 0),46,
57,Parma victoriae,Parma victoriae,Parma victoriae,Parma victoriae,Chordata,Actinopterygii,Perciformes,Pomacentridae,Parma,Victorian scalyfin,933.5574,28.8492,2.412,20,Damselfishes,Ray-finned fishes,Chordates,,,POINT (0 0),47,
58,Aplodactylus arctidens,Aplodactylus arctidens,Aplodactylus arctidens,Aplodactylus arctidens,Chordata,Actinopterygii,Perciformes,Aplodactylidae,Aplodactylus,Marblefish,978.0222,30.7242,1.3907,65,Marblefishes,Ray-finned fishes,Chordates,,,POINT (0 0),48,
61,Dactylophora nigricans,Dactylophora nigricans,Dactylophora nigricans,Dactylophora nigricans,Chordata,Actinopterygii,Perciformes,Cheilodactylidae,Dactylophora,Dusky morwong,965.8592,36.122,1.4187,120,Morwongs,Ray-finned fishes,Chordates,,,POINT (0 0),51,
62,Nemadactylus macropterus,Nemadactylus macropterus,Nemadactylus macropterus,Nemadactylus macropterus,Chordata,Actinopterygii,Perciformes,Cheilodactylidae,Nemadactylus,Jackass morwong,910.4202,4.4878,3.7931,70,Morwongs,Ray-finned fishes,Chordates,4009,Cheilodactylus macropterus,POINT (0 0),52,4832
63,Latridopsis forsteri,Latridopsis forsteri,Latridopsis forsteri,Latridopsis forsteri,Chordata,Actinopterygii,Perciformes,Latridae,Latridopsis,Bastard trumpeter,410.1999,25.3436,4.2267,65,trumpeters,Ray-finned fishes,Chordates,,,POINT (0 0),53,
65,Sphyraena novaehollandiae,Sphyraena novaehollandiae,Sphyraena novaehollandiae,Sphyraena novaehollandiae,Chordata,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena,Snook,747.0963,5.4081,7.8162,100,Barracudas,Ray-finned fishes,Chordates,,,POINT (0 0),55,
66,Dotalabrus aurantiacus,Dotalabrus aurantiacus,Dotalabrus aurantiacus,Dotalabrus aurantiacus,Chordata,Actinopterygii,Perciformes,Labridae,Dotalabrus,Castelnaus wrasse,766.2779,39.7673,1.6834,11.1,Wrasses,Ray-finned fishes,Chordates,,,POINT (0 0),56,
67,Pictilabrus laticlavius,Pictilabrus laticlavius,Pictilabrus laticlavius,Pictilabrus laticlavius,Chordata,Actinopterygii,Perciformes,Labridae,Pictilabrus,Senator wrasse,1072.9862,42.5926,2.2821,23,Wrasses,Ray-finned fishes,Chordates,,,POINT (0 0),57,
68,Notolabrus fucicola,Notolabrus fucicola,Notolabrus fucicola,Notolabrus fucicola,Chordata,Actinopterygii,Perciformes,Labridae,Notolabrus,Purple wrasse,916.531,50.6358,3.7491,38,Wrasses,Ray-finned fishes,Chordates,,,POINT (0 0),58,
70,Notolabrus tetricus,Notolabrus tetricus,Notolabrus tetricus,Notolabrus tetricus,Chordata,Actinopterygii,Perciformes,Labridae,Notolabrus,Blue-throat wrasse,550.1672,78.6678,7.9443,50,Wrasses,Ray-finned fishes,Chordates,,,POINT (0 0),60,
72,Siphonognathus attenuatus,Siphonognathus attenuatus,Siphonognathus attenuatus,Siphonognathus attenuatus,Chordata,Actinopterygii,Perciformes,Odacidae,Siphonognathus,Short-nose weed-whiting,756.4257,5.6755,2.9712,12,cales,Ray-finned fishes,Chordates,,,POINT (0 0),62,
73,Neoodax balteatus,Neoodax balteatus,Neoodax balteatus,Neoodax balteatus,Chordata,Actinopterygii,Perciformes,Odacidae,Neoodax,Little rock whiting,617.5541,31.8953,4.9424,14,cales,Ray-finned fishes,Chordates,,,POINT (0 0),63,
74,Siphonognathus beddomei,Siphonognathus beddomei,Siphonognathus beddomei,Siphonognathus beddomei,Chordata,Actinopterygii,Perciformes,Odacidae,Siphonognathus,Pencil weed whiting,1097.4753,23.4619,7.396,12,cales,Ray-finned fishes,Chordates,,,POINT (0 0),64,
75,Haletta semifasciata,Haletta semifasciata,Haletta semifasciata,Haletta semifasciata,Chordata,Actinopterygii,Perciformes,Odacidae,Haletta,Blue rock whiting,568.2349,6.2704,2.3966,29,cales,Ray-finned fishes,Chordates,,,POINT (0 0),65,
77,Kathetostoma laeve,Kathetostoma laeve,Kathetostoma laeve,Kathetostoma laeve,Chordata,Actinopterygii,Perciformes,Uranoscopidae,Kathetostoma,Common stargazer,1095.3892,0.7005,1,75,stargazers,Ray-finned fishes,Chordates,,,POINT (0 0),67,
